Andréia Cristiane Carrenho Queiroz ,Faixa A ,Universidade Federal de Juiz de Fora ,MG ,UFJF ,SE
Andréia Isabel Giacomozzi ,Faixa A ,Universidade Federal de Santa Catarina ,SC ,UFSC ,SU
Andréia Machado Cardoso ,Faixa A ,Universidade Federal da Fronteira Sul ,SC ,UFFS ,SU
Andressa Aita Ivo ,Faixa A ,Universidade Federal de Santa Maria ,RS ,UFSM ,SU
Andressa Novatski ,Faixa A ,Universidade Estadual de Ponta Grossa ,PR ,UEPG ,SU
Andrey Pupasov-Maksimov ,Faixa A ,Universidade Federal de Juiz de Fora ,MG ,UFJF ,SE
Andreza Ribeiro Simioni ,Faixa A ,Universidade do Vale do Paraíba ,SP ,UNIVAP ,SE
Anelise Losangela Bertotti ,Faixa A ,Universidade Federal de Sergipe ,SE ,UFS ,NE
Anelise Reis Gaya ,Faixa A ,Universidade Federal do Rio Grande do Sul ,RS ,UFRGS ,SU
Angela Falcai ,Faixa A ,Universidade Ceuma ,MA ,UNICEUMA ,NE
Angela Faustino Jozala ,Faixa A ,Universidade de Sorocaba ,SP ,UNISO ,SE
Ângela Gaio Graeff ,Faixa A ,Universidade Federal do Rio Grande do Sul ,RS ,UFRGS ,SU
Angela Helena Marin ,Faixa A ,Universidade do Vale do Rio dos Sinos ,RS ,UNISINOS ,SU
Angélica Amorim Amato ,Faixa A ,Universidade de Brasília ,DF ,UnB ,CO
Angélica Müller ,Faixa A ,Universidade Salgado de Oliveira ,RJ ,UNIVERSO ,SE
Angelita Maria Stabile ,Faixa A ,Universidade de São Paulo ,SP ,USP ,SE
Ângelo Brandelli Costa ,Faixa A ,Pontifícia Universidade Católica do Rio Grande do S ,RS ,PUCRS ,SU
Angelo Luis Stapassoli Piato ,Faixa A ,Universidade Federal do Rio Grande do Sul ,RS ,UFRGS ,SU
Aníbal Coutinho do Rêgo ,Faixa A ,Universidade Federal Rural da Amazônia ,PA ,UFRA ,NO
Anibal Eugênio Vercesi Filho ,Faixa A ,Instituto de Zootecnia ,SP ,IZ ,SE
Anibal Thiago Bezerra ,Faixa A ,Universidade Federal de Alfenas ,MG ,UNIFAL/MG ,SE
